run_id,experiment_id,scheme,dataset_id,topology_id,budget,manifest_size,seed,git_commit,start_time,end_time,duration_sec,status,run_dir
exp_main_v1__exact__smartcity_v1__seed1__20260312_122120,exp_main_v1,exact,smartcity_v1,as3967_medium,,,1,ef80809,2026-03-12T12:21:20Z,2026-03-12T12:21:20Z,0.026,completed,runs/completed/exp_main_v1__exact__smartcity_v1__seed1__20260312_122120
exp_main_v1__exact__smartcity_v1__seed2__20260312_122120,exp_main_v1,exact,smartcity_v1,as3967_medium,,,2,ef80809,2026-03-12T12:21:21Z,2026-03-12T12:21:21Z,0.008,completed,runs/completed/exp_main_v1__exact__smartcity_v1__seed2__20260312_122120
exp_main_v1__exact__smartcity_v1__seed3__20260312_122121,exp_main_v1,exact,smartcity_v1,as3967_medium,,,3,ef80809,2026-03-12T12:21:21Z,2026-03-12T12:21:21Z,0.009,completed,runs/completed/exp_main_v1__exact__smartcity_v1__seed3__20260312_122121
exp_main_v1__exact__smartcity_v1__seed4__20260312_122121,exp_main_v1,exact,smartcity_v1,as3967_medium,,,4,ef80809,2026-03-12T12:21:21Z,2026-03-12T12:21:21Z,0.008,completed,runs/completed/exp_main_v1__exact__smartcity_v1__seed4__20260312_122121
exp_main_v1__exact__smartcity_v1__seed5__20260312_122121,exp_main_v1,exact,smartcity_v1,as3967_medium,,,5,ef80809,2026-03-12T12:21:21Z,2026-03-12T12:21:21Z,0.008,completed,runs/completed/exp_main_v1__exact__smartcity_v1__seed5__20260312_122121
exp_main_v1__flood__smartcity_v1__seed1__20260312_122121,exp_main_v1,flood,smartcity_v1,as3967_medium,,,1,ef80809,2026-03-12T12:21:21Z,2026-03-12T12:21:21Z,0.009,completed,runs/completed/exp_main_v1__flood__smartcity_v1__seed1__20260312_122121
exp_main_v1__flood__smartcity_v1__seed2__20260312_122121,exp_main_v1,flood,smartcity_v1,as3967_medium,,,2,ef80809,2026-03-12T12:21:21Z,2026-03-12T12:21:21Z,0.009,completed,runs/completed/exp_main_v1__flood__smartcity_v1__seed2__20260312_122121
exp_main_v1__flood__smartcity_v1__seed3__20260312_122122,exp_main_v1,flood,smartcity_v1,as3967_medium,,,3,ef80809,2026-03-12T12:21:22Z,2026-03-12T12:21:22Z,0.009,completed,runs/completed/exp_main_v1__flood__smartcity_v1__seed3__20260312_122122
exp_main_v1__flood__smartcity_v1__seed4__20260312_122122,exp_main_v1,flood,smartcity_v1,as3967_medium,,,4,ef80809,2026-03-12T12:21:22Z,2026-03-12T12:21:22Z,0.009,completed,runs/completed/exp_main_v1__flood__smartcity_v1__seed4__20260312_122122
exp_main_v1__flood__smartcity_v1__seed5__20260312_122122,exp_main_v1,flood,smartcity_v1,as3967_medium,,,5,ef80809,2026-03-12T12:21:22Z,2026-03-12T12:21:22Z,0.009,completed,runs/completed/exp_main_v1__flood__smartcity_v1__seed5__20260312_122122
exp_main_v1__flat_iroute__smartcity_v1__seed1__20260312_122122,exp_main_v1,flat_iroute,smartcity_v1,as3967_medium,,,1,ef80809,2026-03-12T12:21:22Z,2026-03-12T12:21:22Z,0.008,completed,runs/completed/exp_main_v1__flat_iroute__smartcity_v1__seed1__20260312_122122
